Site	Report date	Average Daily	Max Daily
Peaks Island	May-16	0.083	0.151
Peaks Island	Jun-16	0.087	0.166
Peaks Island	Jul-16	0.074	0.093
Peaks Island	Aug-16	0.065	0.083
Peaks Island	Sep-16	0.044	0.062
Peaks Island	Oct-16	0.071	0.205
Peaks Island	Nov-16	0.103	0.15
Peaks Island	Dec-16	0.127	0.255
Peaks Island	Jan-17	0.34	0.261
Peaks Island	Feb-17	0.11	0.29
Peaks Island	Mar-17	0.13	0.2
Peaks Island	Apr-17	0.17	0.4
Peaks Island	May-17	0.12	0.23
Peaks Island	Jun-17	0.1	0.16
Peaks Island	Jul-17	0.08	0.11
Peaks Island	Aug-17	0.06	0.08
Peaks Island	Sep-17	0.05	0.07
Peaks Island	Oct-17	0.05	0.1
Peaks Island	Nov-17	0.07	0.09
Peaks Island	Dec-17	0.07	0.09
Peaks Island	Jan-18	0.12	0.4
Peaks Island	Feb-18	0.13	0.26
Peaks Island	Mar-18	0.12	0.22
Peaks Island	Apr-18	0.14	0.26
Peaks Island	May-18	0.12	0.36
Peaks Island	Jun-18	0.077	0.101
Peaks Island	Jul-18	0.07	0.1
Cape Elizabeth	May-16	0.213	0.299
Cape Elizabeth	Jun-16	0.203	0.336
Cape Elizabeth	Jul-16	0.155	0.181
Cape Elizabeth	Aug-16	0.147	0.261
Cape Elizabeth	Sep-16	0.14	0.158
Cape Elizabeth	Oct-16	0.18	0.375
Cape Elizabeth	Nov-16	0.221	0.373
Cape Elizabeth	Dec-16	0.328	0.665
Cape Elizabeth	Jan-17	0.358	0.688
Cape Elizabeth	Feb-17	0.32	0.78
Cape Elizabeth	Mar-17	0.36	0.6
Cape Elizabeth	Apr-17	0.51	1.18
Cape Elizabeth	May-17	0.35	0.74
Cape Elizabeth	Jun-17	0.29	0.51
Cape Elizabeth	Jul-17	0.17	0.22
Cape Elizabeth	Aug-17	0.15	0.23
Cape Elizabeth	Sep-17	0.16	0.2
Cape Elizabeth	Oct-17	0.15	0.2
Cape Elizabeth	Nov-17	0.18	0.24
Cape Elizabeth	Dec-17	0.2	0.23
Cape Elizabeth	Jan-18	0.31	0.97
Cape Elizabeth	Feb-18	0.37	0.46
Cape Elizabeth	Mar-18	0.32	0.39
Cape Elizabeth	Apr-18	0.41	0.71
Cape Elizabeth	May-18	0.27	0.4
Cape Elizabeth	Jun-18	0.188	0.239
Cape Elizabeth	Jul-18	0.17	0.2
Freeport	May-16	0.331	
Freeport	Jun-16	0.299	
Freeport	Jul-16	0.345	
Freeport	Aug-16	0.337	
Freeport	Sep-16	0.298	
Freeport	Oct-16	0.375	
Freeport	Nov-16	0.421	
Freeport	Dec-16	0.373	
Freeport	Jan-17	0.392	
Freeport	Feb-17	0.321	
Freeport	Mar-17	0.4	
Freeport	Apr-17	0.491	
Freeport	May-17	0.4	
Freeport	Jun-17	0.249	
Freeport	Jul-17	0.208	
Freeport	Aug-17	0.222	
Freeport	Sep-17	0.214	
Freeport	Oct-17	0.252	
Freeport	Nov-17	0.293	
Freeport	Dec-17	0.272	
Freeport	Jan-18	0.303	
Freeport	Feb-18	0.381	
Freeport	Mar-18	0.368	
Freeport	Apr-18	0.41	
Freeport	May-18	0.268	
Freeport	Jun-18	0.236	
Freeport	Jul-18	0.232	
Yarmouth	May-16	0.73	0.929
Yarmouth	Jun-16	0.685	1.136
Yarmouth	Jul-16	0.609	0.838
Yarmouth	Aug-16	0.586	0.688
Yarmouth	Sep-16	0.562	0.659
Yarmouth	Oct-16	0.708	1.988
Yarmouth	Nov-16	0.804	1.414
Yarmouth	Dec-16	0.828	1.764
Yarmouth	Jan-17	0.953	1.401
Yarmouth	Feb-17	0.808	1.497
Yarmouth	Mar-17	0.852	1.266
Yarmouth	Apr-17	1.177	2.572
Yarmouth	May-17	0.959	1.715
Yarmouth	Jun-17	0.729	1.132
Yarmouth	Jul-17	0.57	0.725
Yarmouth	Aug-17	0.57	0.973
Yarmouth	Sep-17	0.576	0.874
Yarmouth	Oct-17	0.603	0.948
Yarmouth	Nov-17	0.698	0.948
Yarmouth	Dec-17	0.659	0.905
Yarmouth	Jan-18	0.681	1.636
Yarmouth	Feb-18	0.794	1.098
Yarmouth	Mar-18	0.78	1.03
Yarmouth	Apr-18	0.898	1.823
Yarmouth	May-18	0.593	0.756
Yarmouth	Jun-18	0.494	0.713
Yarmouth	Jul-18	0.49	0.647
Falmouth	May-16	0.812	0.999
Falmouth	Jun-16	0.791	1.377
Falmouth	Jul-16	0.705	0.829
Falmouth	Aug-16	0.681	0.785
Falmouth	Sep-16	0.642	0.714
Falmouth	Oct-16	0.794	1.179
Falmouth	Nov-16	0.881	1.293
Falmouth	Dec-16	0.998	2.154
Falmouth	Jan-17	1.152	1.948
Falmouth	Feb-17	0.954	1.92
Falmouth	Mar-17	1.044	1.567
Falmouth	Apr-17	1.447	3.084
Falmouth	May-17	1.136	2.37
Falmouth	Jun-17	0.892	1.342
Falmouth	Jul-17	0.706	0.766
Falmouth	Aug-17	0.694	0.878
Falmouth	Sep-17	0.678	0.853
Falmouth	Oct-17	0.703	1.005
Falmouth	Nov-17	0.762	0.922
Falmouth	Dec-17	0.747	0.9
Falmouth	Jan-18	0.922	2.494
Falmouth	Feb-18	1.101	1.561
Falmouth	Mar-18	1.091	1.379
Falmouth	Apr-18	1.236	2.351
Falmouth	May-18	0.835	1.14
Falmouth	Jun-18	0.732	0.896
Falmouth	Jul-18	0.719	0.862
Westbrook	May-16	2.197	3.13
Westbrook	Jun-16	1.976	3.26
Westbrook	Jul-16	1.792	2.01
Westbrook	Aug-16	1.772	2.15
Westbrook	Sep-16	1.58	1.9
Westbrook	Oct-16	2.189	7.12
Westbrook	Nov-16	2.858	4.26
Westbrook	Dec-16	3.042	8.22
Westbrook	Jan-17	3.8	6.9
Westbrook	Feb-17	3.5	7.6
Westbrook	Mar-17	3.7	5.9
Westbrook	Apr-17	5.4	11
Westbrook	May-17	3.9	9.9
